Ammonia,Benzene,CO2,Nitrox,Alcohol
0.01,0.01,0.97,0.02,0
0.01,0.01,1.21,0.03,0.01
0.01,0.01,0.97,0.02,0
0.02,0.01,1.35,0.03,0.01
0.01,0.01,0.97,0.02,0
0.01,0.01,1.21,0.03,0.01
0.01,0.01,0.97,0.02,0
0.01,0.01,0.97,0.02,0
0.01,0.01,1.21,0.03,0.01
0.01,0.01,0.97,0.02,0
0.01,0.01,1.21,0.03,0.01
0.01,0.01,0.97,0.02,0
0.01,0.01,1.21,0.03,0.01
0.01,0.01,0.97,0.02,0
0.01,0.01,0.97,0.02,0
0.01,0.01,1.21,0.03,0.01
0.01,0.01,0.97,0.02,0
0.02,0.01,1.35,0.03,0.01
0.01,0.01,1.09,0.02,0
0.02,0.01,1.35,0.03,0.01
0.02,0.01,1.35,0.03,0.01
0.01,0.01,0.97,0.02,0
0.02,0.01,1.35,0.03,0.01
0.01,0.01,0.97,0.02,0
0.02,0.01,1.35,0.03,0.01
0.01,0.01,0.97,0.02,0
0.01,0.01,0.97,0.02,0
0.01,0.01,1.09,0.02,0
0.01,0,0.76,0.02,0
0.01,0.01,0.97,0.02,0
0.01,0,0.76,0.02,0
0.01,0.01,1.09,0.02,0
0.01,0.01,0.97,0.02,0
0.01,0,0.76,0.02,0
0.01,0.01,0.97,0.02,0
0.01,0.01,0.97,0.02,0
0.01,0.01,1.09,0.02,0
0.01,0,0.76,0.02,0
0.01,0.01,1.09,0.02,0
0.01,0.01,0.97,0.02,0
0.01,0,0.76,0.02,0
0.01,0.01,0.97,0.02,0
0.01,0,0.76,0.02,0
0.01,0.01,1.09,0.02,0
0.01,0,0.76,0.02,0
0.01,0.01,1.09,0.02,0
0.01,0.01,0.97,0.02,0
0.01,0,0.76,0.02,0
0.01,0.01,1.09,0.02,0
0.01,0,0.76,0.02,0
0.01,0.01,1.09,0.02,0
0.01,0,0.76,0.02,0
0.01,0.01,1.09,0.02,0
0.02,0.01,1.35,0.03,0.01
0.01,0.01,0.97,0.02,0
0.02,0.01,1.35,0.03,0.01
0.01,0,0.76,0.02,0
0.02,0.01,1.35,0.03,0.01
0.02,0.01,1.35,0.03,0.01
0.01,0.01,0.97,0.02,0
0.02,0.01,1.35,0.03,0.01
0.01,0.01,0.97,0.02,0
0.02,0.01,1.35,0.03,0.01
0.01,0.01,0.97,0.02,0
0.02,0.01,1.35,0.03,0.01
0.02,0.01,1.35,0.03,0.01
0.01,0.01,0.97,0.02,0
0.01,0.01,1.21,0.03,0.01
0.01,0.01,0.97,0.02,0
0.02,0.01,1.35,0.03,0.01
0.01,0.01,1.09,0.02,0
0.01,0.01,0.97,0.02,0
0.01,0.01,1.09,0.02,0
0.01,0,0.76,0.02,0
0.01,0.01,1.21,0.03,0.01
0.01,0.01,0.97,0.02,0
0.01,0.01,1.21,0.03,0.01
0.02,0.01,1.35,0.03,0.01
0.01,0,0.76,0.02,0
0.02,0.01,1.35,0.03,0.01
0.01,0.01,1.09,0.02,0
0.02,0.01,1.35,0.03,0.01
0.01,0.01,1.09,0.02,0
0.01,0.01,0.97,0.02,0
0.02,0.01,1.35,0.03,0.01
0.01,0.01,0.97,0.02,0
0.02,0.01,1.35,0.03,0.01
0.01,0.01,0.97,0.02,0
0.02,0.01,1.35,0.03,0.01
0.02,0.01,1.35,0.03,0.01
0.01,0.01,0.97,0.02,0
0.01,0.01,1.21,0.03,0.01
0.01,0.01,0.97,0.02,0
0.02,0.01,1.35,0.03,0.01
0.01,0.01,0.97,0.02,0
0.01,0.01,1.21,0.03,0.01
0.01,0.01,1.09,0.02,0
0.01,0.01,0.97,0.02,0
0.01,0.01,1.21,0.03,0.01
0.01,0.01,0.97,0.02,0
0.01,0.01,1.21,0.03,0.01